p01;p02;p03;p04;p05;p06;p07;p08;p09;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;Gender;MLR;DA;LR;MLR2
2;5;4;5;5;4;1;4;4;1;4;4;2;4;4;4;2;2;2;2;2;4;1;1,392668242;1;1;1,123824733
4;4;5;5;5;4;4;5;4;4;4;5;4;5;5;3;4;3;4;5;4;5;2;2,047853792;2;2;1,982749632
3;4;2;3;3;1;1;3;3;2;2;3;1;4;5;1;4;4;5;4;5;5;1;0,938736317;1;1;1,165494394
4;5;5;4;5;2;3;4;4;5;5;4;3;4;4;3;4;4;4;4;4;3;2;1,745686394;2;2;1,962918803
2;3;4;4;4;1;2;4;4;4;4;4;3;5;5;5;4;5;4;4;5;5;2;1,69483564;2;2;1,978953446
4;3;4;5;4;2;3;4;4;3;2;4;4;5;5;4;4;4;5;5;5;4;2;1,787508909;2;2;1,858648982
5;5;4;4;5;3;3;4;3;4;4;2;3;5;5;5;3;4;4;4;4;5;2;1,787508909;2;2;1,86092677
4;5;4;5;5;4;4;4;4;5;5;5;4;4;5;5;4;5;4;4;4;4;2;1,552099352;2;2;1,652026834
5;5;5;4;5;5;5;5;4;5;5;5;4;4;4;4;5;4;4;5;3;3;2;1,931032934;2;2;1,844892127
3;4;3;3;4;2;2;3;2;3;4;4;4;4;4;3;3;4;3;4;4;4;2;1,317669898;1;2;1,478664151
3;5;3;4;5;5;5;4;5;3;3;4;3;3;4;4;2;4;5;4;3;3;1;1,26760688;1;1;1,031433075
4;5;4;3;5;4;5;4;4;4;2;3;2;3;4;3;2;2;4;5;4;3;1;1,435278493;1;1;1,391587076
4;4;3;4;4;4;3;3;4;3;3;4;4;4;5;5;3;4;3;4;4;4;2;1,291754469;1;1;1,289595044
3;5;4;5;5;4;3;3;4;4;4;4;3;5;4;4;3;3;3;4;4;4;2;1,906097608;2;2;2,049995878
4;4;4;4;4;3;3;3;4;3;3;4;3;5;5;4;3;4;4;4;4;4;2;1,787508909;2;2;1,740622306
5;5;5;4;5;5;5;4;4;5;4;4;4;3;3;4;4;4;4;5;3;3;2;1,721538805;2;2;1,704756834
3;4;3;4;3;2;3;1;4;3;4;2;4;5;4;3;4;4;3;4;5;5;2;1,738425995;2;2;1,925895228
3;4;5;4;4;3;3;5;4;4;4;3;4;3;3;3;5;4;5;5;4;3;2;1,536192266;2;2;1,702479046
3;5;3;5;5;3;3;3;3;4;4;3;4;4;3;3;3;3;3;3;3;3;2;1,528931867;2;2;1,670011047
4;3;4;4;5;5;5;5;4;4;4;5;4;5;4;4;3;4;5;5;3;3;1;2,091444147;2;2;1,931969202
5;5;4;4;3;3;4;4;4;3;3;4;5;4;5;5;5;4;4;5;4;5;1;1,552099352;1;1;1,411417906
4;5;4;4;5;4;4;4;4;3;3;5;4;5;5;4;4;4;4;4;4;4;2;1,880182179;2;2;1,740622306
3;5;4;5;5;4;4;5;4;5;5;5;4;5;4;3;4;5;5;5;5;4;2;1,998770878;2;2;2,288327018
4;4;4;4;3;3;3;4;4;3;2;4;4;4;5;4;3;2;4;4;5;3;2;1,459426082;2;2;1,529444582
4;5;4;5;5;4;4;4;3;3;3;4;3;4;4;4;5;4;4;5;4;4;2;1,670688051;2;2;1,600487013
5;5;4;5;3;3;3;4;4;3;5;3;3;4;4;5;3;4;4;3;3;3;2;1,578014781;1;1;1,482460337
